Feature,Mean_ABS_SHAP
mfcc_mean_2,0.059689045978139656
mfcc_mean_9,0.05075808886873318
mfcc_mean_1,0.050292883270820196
mfcc_std_2,0.04691377161054452
mfcc_mean_3,0.04600238646170696
mfcc_mean_10,0.0373135930584798
chromagram_mean_7,0.034682270031349396
chromagram_mean_6,0.03242234341201889
mfcc_mean_8,0.03209075615690685
mfcc_mean_11,0.03146907465453876
mfcc_std_6,0.03125204844774526
chromagram_std_3,0.027811069177943695
mfcc_mean_5,0.025951610062311118
mfcc_mean_7,0.025267287605082112
mfcc_std_9,0.025160756278571558
chromagram_std_8,0.022436144186649368
mfcc_std_5,0.0223819537953697
chromagram_std_9,0.021445856712497727
mel_spectrogram_mean,0.019906759747349283
chromagram_mean_0,0.019318673614392354
chromagram_std_11,0.01727871384605475
chromagram_std_7,0.017096933362670437
mfcc_std_10,0.01671914798986575
mfcc_mean_6,0.016496677471191303
mfcc_std_3,0.01629621779725886
chromagram_mean_8,0.014825952252565538
chromagram_mean_4,0.014792934056388603
mfcc_std_8,0.014766799627800881
chromagram_mean_11,0.013958523296049135
chromagram_mean_10,0.012965489208370014
mfcc_mean_12,0.012604099426163494
mfcc_std_7,0.01222595552039501
chromagram_std_2,0.011933510452301298
mfcc_std_1,0.010619321172649805
chromagram_mean_5,0.009690037877717099
chromagram_std_10,0.009533448615220522
chromagram_std_1,0.008431575723795744
chromagram_mean_3,0.007408883858919528
chromagram_mean_9,0.0073829664764040025
chromagram_std_5,0.007055453874172061
chromagram_mean_2,0.006940929796819483
mfcc_mean_4,0.006851221710593988
chromagram_std_0,0.00666896344023727
mfcc_std_11,0.0062691519516608115
chromagram_mean_1,0.005706168947683592
mfcc_mean_0,0.00556174248944335
chromagram_std_6,0.0051230975595000176
chromagram_std_4,0.004757859116456668
mfcc_std_12,0.004611643214646414
mfcc_std_4,0.003658577866214682
mfcc_std_0,0.0035877394379470384
mel_spectrogram_std,0.0029549330751174455
