Feature,Importance
chromagram_std_6,23.57735
chromagram_std_3,23.319874
chromagram_std_5,22.842026
chromagram_mean_2,22.681034
chromagram_mean_1,22.155878
chromagram_std_11,22.0531
chromagram_std_10,21.90557
chromagram_std_2,21.832342
mfcc_std_2,21.587126
chromagram_std_0,21.333824
mfcc_mean_8,21.288399
mfcc_mean_9,21.18333
chromagram_std_1,21.164497
chromagram_std_7,21.010563
mfcc_std_3,20.973482
chromagram_std_4,20.960627
chromagram_mean_11,20.783108
chromagram_mean_10,20.767977
chromagram_std_8,20.57153
chromagram_std_9,20.360928
chromagram_mean_6,20.31398
chromagram_mean_3,20.30334
chromagram_mean_7,20.178837
mfcc_mean_10,20.128992
mfcc_mean_4,19.80811
mfcc_mean_6,19.775646
mfcc_std_6,19.76508
chromagram_mean_9,19.603592
chromagram_mean_8,19.47493
mfcc_std_4,19.351513
mfcc_std_5,19.190907
chromagram_mean_5,19.173252
mfcc_mean_2,19.168003
mfcc_std_11,19.07904
mfcc_mean_5,18.86166
mfcc_mean_0,18.816334
mfcc_mean_12,18.674917
mfcc_mean_7,18.615372
mfcc_std_8,18.508224
mfcc_mean_3,18.324543
mel_spectrogram_mean,18.278042
mfcc_std_10,18.106705
chromagram_mean_4,17.499577
mfcc_std_7,17.271002
mfcc_std_1,17.032505
mfcc_std_12,16.820139
mfcc_std_0,16.334904
mfcc_mean_11,16.263079
chromagram_mean_0,15.54776
mfcc_std_9,15.479057
mfcc_mean_1,13.71638
mel_spectrogram_std,13.007521
